Date,Region,Category,Marketing_Spend,Discount_Percent,Units_Sold,Revenue,Profit
2026-01-24,North America,Office Supplies,239.22,15,14,427.36,110.84
2026-01-25,North America,Electronics,440.44,15,30,1102.08,408.52
2026-01-26,Asia-Pacific,Home Appliances,1111.17,5,69,8086.97,1317.98
2026-01-27,Asia-Pacific,Home Appliances,1297.98,5,74,3170.8,627.12
2026-01-28,Latin America,Electronics,1262.31,10,65,7653.44,1741.32
2026-01-29,Latin America,Electronics,656.06,0,41,3000.84,999.07
2026-01-30,Asia-Pacific,Office Supplies,1035.32,15,65,2182.63,676.96
2026-01-31,Latin America,Office Supplies,386.98,5,29,867.98,220.45
2026-02-01,Latin America,Clothing,510.41,10,36,1471.91,500.11
2026-02-02,Europe,Office Supplies,1354.87,5,78,8779.97,2655.13
2026-02-03,Latin America,Home Appliances,118.2,15,8,491.32,183.76
2026-02-04,North America,Home Appliances,219.71,15,14,833.61,295.52
2026-02-05,Latin America,Electronics,391.04,20,27,1385.66,295.43
2026-02-06,Latin America,Office Supplies,137.15,0,20,694.12,151.22
2026-02-07,Asia-Pacific,Clothing,354.01,20,29,1994.77,361.73
2026-02-08,North America,Home Appliances,916.26,10,49,1617.23,378.82
2026-02-09,Latin America,Home Appliances,689.99,5,45,4659.66,1863.33
2026-02-10,Latin America,Clothing,1349.74,10,81,4620.22,1161.7
2026-02-11,Europe,Clothing,1244.42,15,64,3678.74,754.59
2026-02-12,Latin America,Home Appliances,578.54,20,42,2830.83,964.24
2026-02-13,Latin America,Home Appliances,463.19,20,37,2383.27,680.7
2026-02-14,Europe,Clothing,631.57,20,50,5974.29,1119.58
2026-02-15,Asia-Pacific,Home Appliances,926.41,10,55,4099.6,1005.11
2026-02-16,Latin America,Electronics,475.29,15,31,893.43,226.59
2026-02-17,Europe,Electronics,973.81,5,61,4921.95,1665.87
2026-02-18,North America,Clothing,673.18,5,46,1617.29,250.95
2026-02-19,Asia-Pacific,Office Supplies,872.87,10,57,1316.34,285.98
2026-02-20,North America,Clothing,710.58,20,45,5268.34,1471.97
2026-02-21,North America,Clothing,512.25,0,35,3407.39,740.12
2026-02-22,Europe,Office Supplies,1427.83,10,85,10030.93,3080.58
2026-02-23,Latin America,Office Supplies,1169.05,10,61,4135.06,1118.4
2026-02-24,Europe,Office Supplies,296.16,15,21,1537.74,369.72
2026-02-25,Europe,Electronics,1315.86,5,82,3020.36,1169.79
2026-02-26,Europe,Home Appliances,782.4,10,40,1787.63,550.66
2026-02-27,Europe,Electronics,1352.37,10,72,7477.55,1364.54
2026-02-28,Asia-Pacific,Home Appliances,1219.8,20,70,3893.3,1129.15
2026-03-01,Latin America,Electronics,695.3,20,42,4312.62,1488.64
2026-03-02,North America,Home Appliances,131.46,0,12,1090.82,356.83
2026-03-03,North America,Electronics,476.15,15,28,1056.08,203.85
2026-03-04,Latin America,Office Supplies,858.29,0,47,3325.0,1307.07
2026-03-05,North America,Clothing,986.87,20,60,5264.32,1380.32
2026-03-06,Latin America,Electronics,461.04,5,30,1305.11,247.65
2026-03-07,North America,Home Appliances,295.1,20,29,2989.0,583.0
2026-03-08,Europe,Office Supplies,1268.9,15,70,5213.79,910.11
2026-03-09,North America,Electronics,1478.16,20,78,2848.89,999.62
2026-03-10,Latin America,Electronics,835.97,15,47,3680.03,664.27
2026-03-11,Latin America,Office Supplies,340.35,15,22,2639.37,478.47
2026-03-12,Latin America,Electronics,481.23,15,31,1086.62,394.03
2026-03-13,Latin America,Clothing,125.75,15,25,2541.89,600.27
2026-03-14,Latin America,Electronics,1380.02,15,74,3014.09,475.37
2026-03-15,Asia-Pacific,Clothing,264.85,5,20,1964.78,320.21
2026-03-16,Asia-Pacific,Clothing,907.12,0,55,5140.18,953.72
2026-03-17,North America,Office Supplies,483.68,10,37,1851.81,376.56
2026-03-18,Latin America,Electronics,875.85,0,46,2418.79,765.03
2026-03-19,North America,Office Supplies,1011.99,15,59,5855.88,1108.7
2026-03-20,Latin America,Electronics,1261.64,5,67,4431.68,796.46
2026-03-21,Latin America,Electronics,388.99,20,28,2606.29,889.21
2026-03-22,Asia-Pacific,Home Appliances,115.39,5,12,417.58,132.69
2026-03-23,Asia-Pacific,Electronics,291.64,15,10,1052.56,272.44
2026-03-24,Europe,Office Supplies,1360.03,5,78,7104.9,2041.43
2026-03-25,Asia-Pacific,Clothing,1323.45,5,76,8412.77,1918.08
2026-03-26,Europe,Electronics,936.38,15,50,1661.86,449.74
2026-03-27,Europe,Home Appliances,940.72,5,52,4123.68,1140.89
2026-03-28,Europe,Office Supplies,1031.05,10,52,4155.43,1025.6
2026-03-29,Europe,Electronics,345.52,10,29,1605.04,604.53
2026-03-30,Europe,Office Supplies,1380.18,5,82,5399.42,831.59
2026-03-31,North America,Home Appliances,686.28,20,35,832.94,287.82
2026-04-01,Asia-Pacific,Home Appliances,636.39,15,36,3405.1,616.65
2026-04-02,Europe,Office Supplies,826.48,10,49,3671.68,1282.84
2026-04-03,Latin America,Electronics,165.75,20,25,644.35,195.87
2026-04-04,Asia-Pacific,Clothing,332.8,5,28,2466.12,889.82
2026-04-05,Asia-Pacific,Home Appliances,1133.25,20,57,3800.66,662.75
2026-04-06,Europe,Electronics,215.92,0,22,515.81,149.45
2026-04-07,North America,Electronics,944.41,10,48,5614.12,1545.41
2026-04-08,Europe,Clothing,443.49,5,34,3906.98,1275.82
2026-04-09,North America,Home Appliances,645.01,15,47,3350.64,950.15
2026-04-10,Latin America,Home Appliances,504.17,5,42,1233.42,351.75
2026-04-11,Asia-Pacific,Electronics,597.94,15,40,3818.48,982.87
2026-04-12,Latin America,Electronics,1106.66,5,61,4220.78,959.0
2026-04-13,North America,Clothing,515.97,20,25,1256.12,339.86
2026-04-14,North America,Clothing,892.97,20,43,2973.1,534.04
2026-04-15,Latin America,Home Appliances,766.47,20,30,2167.33,846.08
2026-04-16,North America,Office Supplies,1029.14,0,64,4881.35,1604.02
2026-04-17,Latin America,Home Appliances,1411.56,15,77,4937.42,1916.3
2026-04-18,Asia-Pacific,Electronics,1125.6,20,66,5317.99,1099.13
2026-04-19,Latin America,Home Appliances,400.92,0,37,4139.32,1530.87
2026-04-20,Asia-Pacific,Office Supplies,143.66,15,14,787.18,277.24
2026-04-21,Latin America,Clothing,467.17,5,33,3054.86,975.38
2026-04-22,North America,Office Supplies,933.11,0,54,5910.04,1809.99
2026-04-23,Latin America,Office Supplies,172.0,10,14,918.37,210.43
2026-04-24,North America,Office Supplies,794.91,0,53,3410.32,1207.6
2026-04-25,Latin America,Clothing,935.58,0,55,4411.64,1214.87
2026-04-26,Latin America,Office Supplies,567.94,15,33,2611.64,438.03
2026-04-27,Europe,Office Supplies,1179.28,5,67,6744.15,1539.12
2026-04-28,North America,Office Supplies,249.24,10,24,1623.56,623.16
2026-04-29,Europe,Electronics,205.19,20,12,1435.35,520.56
2026-04-30,North America,Office Supplies,1119.46,20,61,1582.78,625.95
2026-05-01,Europe,Clothing,793.69,0,50,1015.84,311.86
2026-05-02,Asia-Pacific,Office Supplies,1063.76,15,65,5461.29,1157.12
2026-05-03,Latin America,Office Supplies,708.76,15,41,2043.58,389.72
2026-05-04,North America,Clothing,444.96,20,24,1056.92,207.93
2026-05-05,North America,Office Supplies,1246.74,10,67,3429.72,531.43
2026-05-06,Latin America,Clothing,1219.18,5,75,3420.36,847.12
2026-05-07,North America,Office Supplies,1072.58,10,71,1638.61,324.21
2026-05-08,North America,Clothing,481.0,5,26,3045.99,770.37
2026-05-09,Europe,Office Supplies,926.32,20,46,1935.43,742.72
2026-05-10,North America,Office Supplies,605.36,5,38,3549.31,914.43
2026-05-11,Asia-Pacific,Electronics,228.21,15,18,1732.67,640.21
2026-05-12,Asia-Pacific,Electronics,1384.24,0,83,9372.84,2824.75
2026-05-13,Latin America,Office Supplies,291.55,0,20,461.1,97.65
2026-05-14,North America,Office Supplies,1430.33,20,72,7718.75,1844.5
2026-05-15,Latin America,Home Appliances,724.41,15,43,3127.07,534.67
